name,link,price,kraj,region,apelacja,winnica,rodzaj wina,smak,styl,grona,pojemność,temperatura podawania,wysyłka w ciągu,rocznik,rocznik2,zawartość alkoholu,producent,medale,medale2,grona2,grona3,grona4,czy winnica bio,bio,grona5,grona6,grona7,bio2,wino wegańskie,oceny prasy,wine spectator,rodzaj wina2,zawartość alkoholu2,falstaff,bio3,grona8,guia penin,james suckling,medale3,alkohol zawartość,objętość,rocznik3,temperatura podawania2,wino koszerne,region2,ilość win,grona9,grona10,grona11,grona12,grona13
"1,5 L Szampan Moet & Chandon Brut Imperial Magnum w kartoniku",https://www.wina.pl/szampany/3056-15-l-szampan-moet-chandon-brut-imperial-magnum-w-kartoniku.html,"666,00 zł",Francja,Szampania,Champagne AOC,Moet & Chandon,szampan,wytrawne,średnie,Chardonnay,"1,5 L",9 st.C,24 h ( w dni robocze ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 Filari Primitivo di Manduria San Marzano NV 2017,https://www.wina.pl/slodkie/2869-11-filari-primitivo-di-manduria-san-marzano.html,"109,00 zł",Włochy,Apulia,Primitivo di Manduria DOP,,czerwone,słodkie,pełne,Primitivo,500 ml,18 st.C,3 dni ( dni robocze ),NV,2017.0,"17,5%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 L Szampan Moet & Chandon Brut Imperial Jeroboam w skrzyni,https://www.wina.pl/szampany/4154-3-l-szampan-moet-chandon-brut-imperial-jeroboam-w-skrzyni.html,"1 999,00 zł",Francja,Szampania,Champagne AOC,Moet & Chandon,szampan,wytrawne,średnie,Chardonnay,3 L,9 st.C,24 h ( w dni robocze ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
770 Miles Zinfandel California 2021,https://www.wina.pl/wina-czerwone-wytrawne/4517-770-miles-zinfandel-california.html,"37,00 zł",USA,Kalifornia,,,czerwone,wytrawne,średnie,Zinfandel,750 ml,16-18 st.C,24 h ( w dni robocze ),2021,,13.5%,770 Miles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
770 Miles Zinfandel Rose California 2021,https://www.wina.pl/wina-polwytrawne/4528-770-miles-zinfandel-rose-california.html,"39,00 zł",USA,Kalifornia,,,różowe,półwytrawne,lekkie,Zinfandel,750 ml,8-10 st.C,24 h ( w dni robocze ),2021,,10%,770 Miles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a6mani Concura Primitivo di Manduria DOP Riserva 2018,https://www.wina.pl/czerwone/3258-a6mani-concura-primitivo-di-manduria-dop-riserva.html,"195,00 zł",Włochy,Apulia,Primitivo di Manduria DOP,,czerwone,wytrawne,pełne,Primitivo,750 ml,16-18 st.C,3 dni ( dni robocze ),2018,,14.5%,,Mundus Vini Silver,Berliner Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a6mani Familia Primitivo di Manduria DOP 2020,https://www.wina.pl/czerwone/3259-a6mani-familia-primitivo-di-manduria-dop.html,"93,00 zł",Włochy,Apulia,Primitivo di Manduria DOP,,czerwone,wytrawne,pełne,Primitivo,750 ml,16-18 st.C,3 dni ( dni robocze ),2020,,14%,,Mundus Vini Gold,Berliner Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a6mani Lifili Bianco Salento IGP 2021,https://www.wina.pl/biale/3262-a6mani-lifili-bianco-salento-igp.html,"52,00 zł",Włochy,Apulia,Salento IGT,,białe,wytrawne,lekkie,Malvasia Bianca,750 ml,10-12 st.C,3 dni ( dni robocze ),2021,,12%,,,,Chardonnay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a6mani Lifili Negroamaro Salento IGP 2021,https://www.wina.pl/czerwone/3261-a6mani-lifili-negroamaro-salento-igp.html,"53,00 zł",Włochy,Apulia,Salento IGT,,czerwone,wytrawne,średnie,Negroamaro,750 ml,15 st.C,3 dni ( dni robocze ),2021,,13.5%,,Mundus Vini Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a6mani Lifili Primitivo Salento IGP 2021,https://www.wina.pl/czerwone/3260-a6mani-lifili-primitivo-salento-igp.html,"55,00 zł",Włochy,Apulia,Salento IGT,,czerwone,wytrawne,średnie,Primitivo,750 ml,15 st.C,3 dni ( dni robocze ),2021,,13.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
