name,link,price (PLN),country,region,appellation,vineyard,vintage,volume (liters),alcohol (%),serving temperature (C),color,kind,taste,style,medals,wegan,natural,punctation,grapes
Szampan Moet & Chandon Brut Imperial Magnum w kartoniku,https://www.wina.pl/szampany/3056-15-l-szampan-moet-chandon-brut-imperial-magnum-w-kartoniku.html,666.0,Francja,Szampania,Champagne AOC,Moet & Chandon,,1.5,,9,,szampan,wytrawne,średnie,,False,False,,Chardonnay
11 Filari Primitivo di Manduria San Marzano,https://www.wina.pl/slodkie/2869-11-filari-primitivo-di-manduria-san-marzano.html,109.0,Włochy,Apulia,Primitivo di Manduria DOP,,2017.0,0.5,17.5,18,czerwone,,słodkie,pełne,,False,False,,Primitivo
Szampan Moet & Chandon Brut Imperial Jeroboam w skrzyni,https://www.wina.pl/szampany/4154-3-l-szampan-moet-chandon-brut-imperial-jeroboam-w-skrzyni.html,1999.0,Francja,Szampania,Champagne AOC,Moet & Chandon,,3.0,,9,,szampan,wytrawne,średnie,,False,False,,Chardonnay
770 Miles Zinfandel California,https://www.wina.pl/wina-czerwone-wytrawne/4517-770-miles-zinfandel-california.html,37.0,USA,Kalifornia,,,2021.0,0.75,13.5,16-18,czerwone,,wytrawne,średnie,,False,False,,Zinfandel
770 Miles Zinfandel Rose California,https://www.wina.pl/wina-polwytrawne/4528-770-miles-zinfandel-rose-california.html,39.0,USA,Kalifornia,,,2021.0,0.75,10.0,8-10,różowe,,półwytrawne,lekkie,,False,False,,Zinfandel
a6mani Concura Primitivo di Manduria DOP Riserva,https://www.wina.pl/czerwone/3258-a6mani-concura-primitivo-di-manduria-dop-riserva.html,195.0,Włochy,Apulia,Primitivo di Manduria DOP,,2018.0,0.75,14.5,16-18,czerwone,,wytrawne,pełne,"Mundus Vini Silver, Berliner Gold",False,False,,Primitivo
a6mani Familia Primitivo di Manduria DOP,https://www.wina.pl/czerwone/3259-a6mani-familia-primitivo-di-manduria-dop.html,93.0,Włochy,Apulia,Primitivo di Manduria DOP,,2020.0,0.75,14.0,16-18,czerwone,,wytrawne,pełne,"Mundus Vini Gold, Berliner Gold",False,False,,Primitivo
a6mani Lifili Bianco Salento IGP,https://www.wina.pl/biale/3262-a6mani-lifili-bianco-salento-igp.html,52.0,Włochy,Apulia,Salento IGT,,2021.0,0.75,12.0,10-12,białe,,wytrawne,lekkie,,False,False,,"Malvasia Bianca, Chardonnay"
a6mani Lifili Negroamaro Salento IGP,https://www.wina.pl/czerwone/3261-a6mani-lifili-negroamaro-salento-igp.html,53.0,Włochy,Apulia,Salento IGT,,2021.0,0.75,13.5,15,czerwone,,wytrawne,średnie,Mundus Vini Gold,False,False,,Negroamaro
a6mani Lifili Primitivo Salento IGP,https://www.wina.pl/czerwone/3260-a6mani-lifili-primitivo-salento-igp.html,55.0,Włochy,Apulia,Salento IGT,,2021.0,0.75,13.5,15,czerwone,,wytrawne,średnie,,False,False,,Primitivo
Abadal Blanc Pla de Bages DO,https://www.wina.pl/organiczne/3989-abadal-blanc-pla-de-bages-do.html,67.0,Hiszpania,Katalonia,Pla de Bages DO,,2021.0,0.75,12.5,8-10,białe,,wytrawne,lekkie,,False,True,,"Chardonnay, Picapoll / Picpoul, Sauvignon Blanc, Macabeo"
Abadal Matís Crianza Pla de Bages DO,https://www.wina.pl/organiczne/3990-abadal-matis-crianza-pla-de-bages-do.html,89.0,Hiszpania,Katalonia,Pla de Bages DO,,2019.0,0.75,14.0,16,czerwone,,wytrawne,pełne,,False,True,,"Merlot, Cabernet Sauvignon, Mandó"
Abadal Picapoll Pla de Bages DO,https://www.wina.pl/organiczne/3988-abadal-picapoll-pla-de-bages-do.html,89.0,Hiszpania,Katalonia,Pla de Bages DO,,2021.0,0.75,12.5,8-10,białe,,wytrawne,średnie,,False,True,,Picpoul de pinet
Abafado 5 Years Quinta da Alorna,https://www.wina.pl/slodkie/3061-abafado-5-years-quinta-da-alorna.html,63.0,Portugalia,Alentejo,Vinho Regional Tejo,Quinta Da Alorna,2016.0,0.5,17.5,12-14,białe,,słodkie,pełne,,False,False,,Fernao Pires
Achillée Alsace VdF,https://www.wina.pl/naturalne/4133-achillee-alsace-vdf.html,145.0,Francja,Alzacja,Vin de France,Achillée,2020.0,0.75,12.0,10,białe,,wytrawne,średnie,,False,True,,"Gewürztraminer, Sylvaner, Pinot Blanc, Muscat, Auxerrois, Chasselas, Riesling"
